"sampleID","tubeLabel","plateID","sampleType","CDCA","GCDCA","TCDCA","UDCA","GUDCA","TUDCA","DCA","GDCA","LCA","GLCA","TLCA","CA","GCA","TCA","TDCA"
"SRV00297","1640-10","SRVp008","sample",906.7033724394,1093.1625349778,605.4203890007,17.8997399646,22.9013380346,8.5111204681,62.2710896389,54.9088888919,2.7267116448,12.1310285814,1.8532448007,1555.968801593,419.9306532105,184.983558093,31.8870287603
"SRV00229","1610-23","SRVp008","sample",21.3276586659,2000.7975350721,374.2874792112,NA,106.099133855,12.0061661911,108.6305047883,787.4371985316,17.9057657681,39.6683752856,13.990019865,25.272872946,502.3386870631,96.6014312812,234.5081410232
"SRV00245","1617-26","SRVp008","sample",41.5232115619,2040.2788209884,260.3186580695,11.4579343097,305.7813094453,14.2533255698,72.9778751326,465.2045009309,4.3457299568,10.4505886424,3.4457247695,60.4701494319,628.9428658346,75.8266743192,65.9090498776
"SRV00222","1609-10","SRVp008","sample",6.6786897153,511.5614754745,88.5238089548,NA,25.2727707413,6.216609825,64.5208086091,246.5848225956,7.4951828535,9.8053739862,5.5344763531,11.4188270615,139.5584415217,20.528271674,62.5292031535
"SRV00279","1632-23","SRVp008","sample",28.2501655986,776.2769976956,94.5203244008,5.6897763691,60.4895598011,5.7626455626,356.3581393177,782.2427702794,11.9766050347,26.84283388,3.7659144049,26.1033396404,262.266523328,27.4642085583,105.5121379566
"SRV00269","1630-23","SRVp008","sample",24.9482938057,1660.7648916932,1109.6248182591,NA,32.3941380337,11.1448997855,68.0033361824,263.1186410923,5.1434522991,11.1164283415,7.7695102119,25.2329801944,686.8256315266,383.4401418452,292.6542372111
"QC03#81",NA,"SRVp008","qc",33.9203580617,21.5030661442,39.4707527816,23.6498420508,25.0534537,49.7213278983,23.0815260778,22.4750903894,28.3691444609,22.0689871851,41.7510766814,11.5671559641,23.9439706622,36.7330371646,38.310464709
"SRV00209","1606-23","SRVp008","sample",1931.8952907539,776.3476603138,84.2016443565,102.5082190954,38.8592240867,6.6911305454,900.1301088947,236.6314420822,13.4429969522,24.395981473,1.503149951,3907.9707409718,327.975875986,39.2776759471,28.7138745934
"SRV00243","1617-18","SRVp008","sample",270.4846872047,1162.0468044929,155.3646998253,25.299600148,133.1279798184,8.5439629286,172.9570964771,212.6388599278,7.863239604,7.4315172495,0.5563082709,279.8236459465,269.9252139625,33.6769594916,36.08177492
"SRV00275","1631-26","SRVp008","sample",12.7343269198,397.2943220891,76.5875372596,NA,16.8655703511,3.867516059,97.3758480385,190.2531253987,9.5678674547,6.4780326366,3.0963821414,36.6387468853,159.9722686649,38.5005239438,56.7854437648
"SRV00312","1643-10","SRVp008","sample",5138.04942111,854.1404477939,86.0210265286,343.5709609875,78.5436107051,7.9032204309,1302.6815989503,133.5759150879,19.6716470483,36.1077333955,1.823139895,4382.4953081472,104.5978734293,12.1324861222,17.1058860738
"SRV00309","1642-23","SRVp008","sample",1694.7796661519,1427.5760063251,241.2321414435,130.4412256043,121.5329089963,14.6396820304,504.4671614268,245.1718503882,14.2542702478,28.6355985972,2.3312364836,2108.4916677173,364.3793220144,58.8378761009,56.4312547791
"SRV00289","1634-23","SRVp008","sample",115.6889056789,747.8402307801,81.1764797535,5.2756841653,46.2667841637,3.0119238291,191.8320279466,387.9110879963,11.1725399504,41.0100238008,4.6223036474,184.6738267624,223.7031712183,14.2469487642,51.7110579711
"SRV00264","1629-23","SRVp008","sample",133.8206207641,1668.3738232465,359.9380105749,26.5801896631,87.3853659581,9.0078516864,222.4077576818,592.5006397306,3.6205560077,10.2198565561,2.4841887937,25.9051864243,470.2411055035,85.9961508262,191.925126328
"SRV00272","1631-10","SRVp008","sample",30.1218067974,1096.1742600498,149.2562934265,NA,46.2765657501,3.6922488401,270.5267659255,1095.7362213002,14.1456199358,34.6224447511,7.8416267874,38.8912017276,277.0359182663,46.6838807776,161.4854361198
"SRV00313","1643-18","SRVp008","sample",6497.8984250893,770.1260215491,62.780280526,496.6149108115,78.5059619384,8.523498913,1951.1702425205,180.4264524997,13.5708346793,10.8685583913,2.6008746497,3551.0800506222,79.2782192238,7.2754870158,12.581118901
"SRV00307","1642-10","SRVp008","sample",40.6940618126,3767.1620727191,554.8976892004,14.5617481646,328.5487033618,27.507099568,112.8705335072,1006.9407600426,16.5741069927,52.4342387512,12.3342835591,62.8447932055,847.0463841498,140.9821818089,173.1024336017
"LTR#4",NA,"SRVp008","ltr",420.6111114121,1774.9260793168,283.3308436839,74.1541291063,184.5716974957,14.489225675,340.349283875,495.611891488,6.1107965522,23.8745974815,2.8652050628,143.2317687713,390.9403971053,93.7578321538,96.9978863077
"SRV00299","1640-23","SRVp008","sample",168.2432129938,1030.7016741635,685.4208245736,1.3908719795,18.264254204,7.6197917909,11.3279339717,12.2793020462,2.6839469349,1.7957937279,2.0167319545,31.1379321775,397.388468541,218.8668364236,33.2164481294
