"Compound","Timepoint","N_Obs","EMM_Log","SE_Log","DF","CI_Lower_Log","CI_Upper_Log","EMM","CI_Lower","CI_Upper","Order","Timepoint_Order"
"DCA","18",30,5.06577505715448,0.248286739150766,42.585962192493,4.56491630678202,5.56663380752693,158.503243551374,96.0545545653367,261.552180737222,11,2
"DCA","23",31,4.92947837031456,0.246912677956213,41.761976282902,4.43110425973302,5.42785248089609,138.307348301556,84.0241501856863,227.659816278231,11,3
"DCA","26",30,4.76352194169742,0.248161354173442,42.5298684737815,4.26289683994993,5.2641470434449,117.157823156714,71.0154060377209,193.281377839748,11,4
"LCA","2",31,2.09588857568988,0.11125884493508,49.7969349671211,1.8723960280364,2.31938112334336,8.13266424826769,6.50386117874546,10.1693787670618,12,1
"LCA","18",30,1.76690657326665,0.11212357284614,51.0281283443279,1.54181212080123,1.99200102573206,5.85272036765067,4.673050735424,7.33018698946461,12,2
"LCA","23",30,1.99608402560535,0.11212357284614,51.0281283444043,1.77098957313994,2.22117847807076,7.36017732561935,5.87666587565724,9.21818789952944,12,3
"LCA","26",29,1.59996667406432,0.11303367524862,52.3345562775721,1.37318251894998,1.82675082917867,4.95286736270557,3.94789497424827,6.21366456619708,12,4
"UDCA","2",25,3.28176764562194,0.259646113491049,51.3921207578936,2.76060287169289,3.80293241955098,26.6227907915558,15.8093710981634,44.8324595032935,13,1
"UDCA","18",26,3.28937721989502,0.257292506499394,49.957037891291,2.77257899975107,3.80617544003897,26.8261516589428,15.9998444409369,44.9780880986154,13,2
"UDCA","23",27,3.09777745161458,0.254425385578906,48.47285326157,2.58634981514908,3.60920508808008,22.1486700459129,13.2812041668093,36.93667973486,13,3
"UDCA","26",25,3.18731948686375,0.259018120972822,51.2618722604702,2.66738340151649,3.707255572211,24.2234091743666,14.4022349804817,40.7418399174849,13,4
"GUDCA","2",32,4.25436935731474,0.203106097939908,40.3882958592077,3.84399952079044,4.66473919383904,70.4123981197988,46.7119266533053,106.137900193638,14,1
"GUDCA","18",32,4.2392034928251,0.203106097939908,40.3882958605479,3.82883365630122,4.64957332934898,69.3525899979192,46.0088448015804,104.540371751613,14,2
"GUDCA","23",32,4.17717728223668,0.203106097939908,40.3882958605651,3.76680744571281,4.58754711876056,65.1816040230979,43.2417924623547,98.2531310819897,14,3
"GUDCA","26",30,4.36910779961837,0.204611189685767,41.503705227136,3.95603936698045,4.7821762322563,78.9731403920588,52.2499726280887,119.363831016268,14,4
"TUDCA","2",31,1.65477107219384,0.18627427650357,48.9811092867245,1.28043524702516,2.02910689736252,5.23188206178904,3.5982054930335,7.60728923388787,15,1
"TUDCA","18",32,1.59690445267972,0.185188651402491,48.0107206410998,1.22455986138699,1.96924904397245,4.93772378468033,3.40266810753525,7.16529364700765,15,2
"TUDCA","23",32,1.84848876562788,0.185188651402491,48.0107206412124,1.47614417433517,2.22083335692058,6.35021560345294,4.37603986210852,9.21500705683862,15,3
"TUDCA","26",30,1.83958072866216,0.187425345664598,50.0158969963817,1.46312880736742,2.2160326499569,6.2938988563582,4.31945314469651,9.17087452672214,15,4
"Total_BA","2",32,7.7240848984665,0.12466657335003,77.0294274683516,7.47584354977297,7.97232624716002,2262.18151421237,1764.88983285416,2899.59469876273,16,1
"Total_BA","18",32,8.06277156824813,0.12466657335003,77.0294274675967,7.81453021955456,8.31101291694169,3174.07512046041,2476.32335142927,4068.43188088134,16,2
"Total_BA","23",32,8.14791206074259,0.12466657335003,77.0294274676041,7.89967071204902,8.39615340943615,3456.15528439772,2696.39429191528,4429.99356054326,16,3
"Total_BA","26",30,8.08527301463473,0.127475145252046,80.9009647978316,7.83163275466566,8.3389132746038,3246.30600367712,2519.03899017231,4183.54091009494,16,4
"Glycine_Conjugated","2",32,7.13391603733588,0.131514530455934,67.4403842905928,6.87144344140985,7.39638863326191,1253.77720423753,964.339529293101,1630.08694564039,17,1
"Glycine_Conjugated","18",32,7.33125691031602,0.131514530455934,67.4403842896541,7.06878431438993,7.59372950624211,1527.30024549764,1174.71907676613,1985.70542186023,17,2
"Glycine_Conjugated","23",32,7.54856261502656,0.131514530455934,67.4403842894799,7.28609001910046,7.81103521095267,1898.01259489778,1459.85153197059,2467.68368666081,17,3
"Glycine_Conjugated","26",30,7.53660910649743,0.134101929161689,70.9739931340596,7.26921575629215,7.80400245670271,1875.45974652951,1435.42428903403,2450.38995628222,17,4
"Taurine_Conjugated","2",32,5.1030886208031,0.156221768605771,61.9025026189704,4.79079597083067,5.41538127077553,164.529291930963,120.397163163318,224.838253593933,18,1
"Taurine_Conjugated","18",32,5.42780144578404,0.156221768605771,61.9025026159464,5.1155087958113,5.74009409575677,227.648197930471,166.58551743821,311.093682199676,18,2
"Taurine_Conjugated","23",32,5.81576522705988,0.156221768605771,61.9025026148916,5.50347257708704,6.12805787703272,335.548070745934,245.543120915329,458.544745059845,18,3
"Taurine_Conjugated","26",30,5.67296637467412,0.159023655887196,65.1294559790131,5.35538617005031,5.99054657929794,290.896162813724,211.745730425762,399.632981357405,18,4
"Unconjugated","2",32,6.37599268269558,0.213482968595979,76.7187652986191,5.95086891295494,6.80111645243623,587.568410530566,384.086932219642,898.850255222926,19,1
"Unconjugated","18",32,6.6750220896524,0.213482968595979,76.7187653014315,6.249898319912,7.10014585939279,792.36495674861,517.960155756479,1212.14386416705,19,2
"Unconjugated","23",32,6.42092542720542,0.213482968595979,76.7187653027365,5.99580165746514,6.84604919694571,614.571592313598,401.738611692905,940.159175856338,19,3
"Unconjugated","26",30,6.36496326057558,0.21829090870764,80.6011466278296,5.93060024106672,6.79932628008444,581.123477782733,376.38036498716,897.242597768932,19,4
